,Atoms,Step,Temp,PotEng,KinEng,Press,Volume,Density,TotEng,c_pern,c_kern
52,72.0,0.0,0.0,-8975.1789,0.0,-28.165578,884736.0,0.001127116,-8975.1789,-8975.1789,0.0
53,72.0,0.0,0.0,-8914.5791,0.0,-41.953978,884736.0,0.001127116,-8914.5791,-8914.5791,0.0
54,72.0,0.0,0.0,-8974.9395,0.0,4.7190596,884736.0,0.001127116,-8974.9395,-8974.9395,0.0
55,72.0,0.0,0.0,-8975.4033,0.0,-38.822755,884736.0,0.001127116,-8975.4033,-8975.4033,0.0
56,72.0,0.0,0.0,-8907.2605,0.0,-15.196486,884736.0,0.001127116,-8907.2605,-8907.2605,0.0
57,72.0,0.0,0.0,-8909.0565,0.0,35.181239,884736.0,0.001127116,-8909.0565,-8909.0565,0.0
58,72.0,0.0,0.0,-8909.8957,0.0,-35.32794,884736.0,0.001127116,-8909.8957,-8909.8957,0.0
59,72.0,0.0,0.0,-8954.3131,0.0,-42.951146,884736.0,0.001127116,-8954.3131,-8954.3131,0.0
60,72.0,0.0,0.0,-8956.3815,0.0,-26.660919,884736.0,0.001127116,-8956.3815,-8956.3815,0.0
61,72.0,0.0,0.0,-8977.0493,0.0,8.657044,884736.0,0.001127116,-8977.0493,-8977.0493,0.0
62,72.0,0.0,0.0,-8883.819,0.0,-32.285773,884736.0,0.001127116,-8883.819,-8883.819,0.0
63,72.0,0.0,0.0,-8980.4507,0.0,25.913675,884736.0,0.001127116,-8980.4507,-8980.4507,0.0
64,72.0,0.0,0.0,-8895.4314,0.0,-34.215544,884736.0,0.001127116,-8895.4314,-8895.4314,0.0
65,72.0,0.0,0.0,-8968.6018,0.0,-19.430557,884736.0,0.001127116,-8968.6018,-8968.6018,0.0
66,72.0,0.0,0.0,-8958.6382,0.0,-68.634044,884736.0,0.001127116,-8958.6382,-8958.6382,0.0
67,72.0,0.0,0.0,-8938.7848,0.0,48.039281,884736.0,0.001127116,-8938.7848,-8938.7848,0.0
68,72.0,0.0,0.0,-8885.5499,0.0,-46.257523,884736.0,0.001127116,-8885.5499,-8885.5499,0.0
69,72.0,0.0,0.0,-8942.1952,0.0,-53.062984,884736.0,0.001127116,-8942.1952,-8942.1952,0.0
70,72.0,0.0,0.0,-8942.4297,0.0,-54.277425,884736.0,0.001127116,-8942.4297,-8942.4297,0.0
71,72.0,0.0,0.0,-8917.8194,0.0,-7.1726136,884736.0,0.001127116,-8917.8194,-8917.8194,0.0
72,72.0,0.0,0.0,-8912.1096,0.0,-18.615134,884736.0,0.001127116,-8912.1096,-8912.1096,0.0
73,72.0,0.0,0.0,-8943.5037,0.0,18.73288,884736.0,0.001127116,-8943.5037,-8943.5037,0.0
74,72.0,0.0,0.0,-8956.32,0.0,22.099426,884736.0,0.001127116,-8956.32,-8956.32,0.0
75,72.0,0.0,0.0,-8922.9819,0.0,-70.698236,884736.0,0.001127116,-8922.9819,-8922.9819,0.0
76,72.0,0.0,0.0,-8902.4894,0.0,-3.0124883,884736.0,0.001127116,-8902.4894,-8902.4894,0.0
77,72.0,0.0,0.0,-8964.5732,0.0,-41.367988,884736.0,0.001127116,-8964.5732,-8964.5732,0.0
78,72.0,0.0,0.0,-8941.3587,0.0,5.5570132,884736.0,0.001127116,-8941.3587,-8941.3587,0.0
79,72.0,0.0,0.0,-8892.0037,0.0,-31.201983,884736.0,0.001127116,-8892.0037,-8892.0037,0.0
80,72.0,0.0,0.0,-8923.6852,0.0,-58.589964,884736.0,0.001127116,-8923.6852,-8923.6852,0.0
81,72.0,0.0,0.0,-8953.2045,0.0,-29.488682,884736.0,0.001127116,-8953.2045,-8953.2045,0.0
82,72.0,0.0,0.0,-8905.665,0.0,-19.108649,884736.0,0.001127116,-8905.665,-8905.665,0.0
83,72.0,0.0,0.0,-8965.7721,0.0,3.3143472,884736.0,0.001127116,-8965.7721,-8965.7721,0.0
84,72.0,0.0,0.0,-8938.1643,0.0,9.8421215,884736.0,0.001127116,-8938.1643,-8938.1643,0.0
85,72.0,0.0,0.0,-8952.1006,0.0,-77.932396,884736.0,0.001127116,-8952.1006,-8952.1006,0.0
86,72.0,0.0,0.0,-8936.9521,0.0,-26.656461,884736.0,0.001127116,-8936.9521,-8936.9521,0.0
87,72.0,0.0,0.0,-8893.4348,0.0,-34.700759,884736.0,0.001127116,-8893.4348,-8893.4348,0.0
88,72.0,0.0,0.0,-8929.8378,0.0,-18.868411,884736.0,0.001127116,-8929.8378,-8929.8378,0.0
89,72.0,0.0,0.0,-8949.8373,0.0,-31.08809,884736.0,0.001127116,-8949.8373,-8949.8373,0.0
90,72.0,0.0,0.0,-8951.1155,0.0,-32.633631,884736.0,0.001127116,-8951.1155,-8951.1155,0.0
91,72.0,0.0,0.0,-8894.809,0.0,-41.254576,884736.0,0.001127116,-8894.809,-8894.809,0.0
92,72.0,0.0,0.0,-9015.4463,0.0,1.0195289,884736.0,0.001127116,-9015.4463,-9015.4463,0.0
93,72.0,0.0,0.0,-8992.6552,0.0,16.014538,884736.0,0.001127116,-8992.6552,-8992.6552,0.0
94,72.0,0.0,0.0,-8926.3291,0.0,0.12650163,884736.0,0.001127116,-8926.3291,-8926.3291,0.0
95,72.0,0.0,0.0,-8933.3239,0.0,-6.305043,884736.0,0.001127116,-8933.3239,-8933.3239,0.0
96,72.0,0.0,0.0,-8963.738,0.0,-46.013546,884736.0,0.001127116,-8963.738,-8963.738,0.0
97,72.0,0.0,0.0,-8953.1788,0.0,-40.155338,884736.0,0.001127116,-8953.1788,-8953.1788,0.0
