,Atoms,Step,Temp,PotEng,KinEng,Press,Volume,Density,TotEng,c_pern,c_kern
Суммарное значение,28764.0,0.0,0.0,-3573241.5092999996,0.0,-9208.269710234996,529956864.0,0.45028284599000773,-3573241.5092999996,-3573241.5092999996,0.0
Среднее значение,48.02003338898164,0.0,0.0,-5965.344756761268,0.0,-15.372737412746236,884736.0,0.0007517242837896623,-5965.344756761268,-5965.344756761268,0.0
Среднеквадратическое отклонение,16.99182173926475,0.0,0.0,2114.1346987205084,0.0,22.513533977235713,0.0,0.00026599658071717634,2114.1346987205084,2114.1346987205084,0.0
